"lat","long","Site","Sample.Date","PFBA","PFBS","PFDS","PFDA","PFDoA","PFHpS","PFHpA","PFHxS","PFHxA","PFNS","PFNA","PFOSA","N.EtFOSAA","N.MeFOSAA","PFPeS","PFPeA","PFTeA","PFTriA","PFUnA","HFPO.DA","PFOA","PFOS","PFBA.lab","PFBS.lab","PFDS.lab","PFDA.lab","PFDoA.lab","PFHpS.lab","PFHpA.lab","PFHxS.lab","PFHxA.lab","PFNS.lab","PFNA.lab","PFOSA.lab","N.EtFOSAA.lab","N.MeFOSAA.lab","PFPeS.lab","PFPeA.lab","PFTeA.lab","PFTriA.lab","PFUnA.lab","HFPO.DA.lab","PFOA.lab","PFOS.lab","sum_pfas","sum_pfoa.pfos"
36.30801981,-79.51739008,"City.of.Reidsville","8/7/2019",NA,NA,NA,NA,NA,NA,NA,NA,29.5,NA,NA,NA,NA,NA,NA,58.7,NA,NA,NA,NA,16.4,12.2,11.1,11.1,11.1,11.1,11.1,11.1,11.1,"11.1",NA,11.1,11.1,11.1,11.1,11.1,11.1,NA,11.1,11.1,11.1,NA,NA,NA,116.8,28.6
35.40727843,-78.8203801,"North.Harnett.Regional","8/6/2019",9.38,NA,NA,0.297,NA,NA,12.5,5.31,22.9,NA,0.551,NA,NA,NA,NA,55.7,NA,NA,NA,NA,7.29,18.5,NA,4.91,4.91,NA,4.91,4.91,NA,NA,NA,4.91,NA,4.91,4.91,4.91,4.91,NA,4.91,4.91,4.91,172,4.91,NA,132.428,25.79
34.96435311,-78.83344791,"Fayetteville-Rockfish.Creek.WWTP","8/27/2019",7.47,3.93,NA,0.51,NA,0.31,12.1,9.89,23.9,NA,0.69,NA,NA,NA,0.61,79.1,NA,NA,NA,NA,13.26,14.25,NA,NA,11.1,NA,11.1,NA,NA,NA,NA,11.1,NA,11.1,11.1,11.1,NA,NA,11.1,11.1,11.1,NA,NA,NA,166.02,27.51
35.90402079,-78.97846588,"City.of.Durham-South.Durham.Water.Reclamation","8/5/2019",NA,NA,NA,6.93,NA,NA,7.01,NA,26.7,NA,NA,NA,NA,NA,NA,103,NA,NA,NA,NA,22.1,6.32,NA,4.88,4.88,4.88,NA,4.88,4.88,NA,4.88,NA,4.88,4.88,4.88,4.88,4.88,4.88,NA,4.88,4.88,4.88,NA,NA,172.06,28.42
36.02454813,-79.36944141,"South.Burlington.WWTP","8/6/2019",NA,NA,NA,7.2,NA,NA,7.29,NA,27.7,NA,NA,NA,NA,NA,NA,107,NA,NA,NA,NA,22.9,6.57,5.07,5.07,5.07,NA,5.07,5.07,NA,"5.07",NA,5.07,5.07,5.07,5.07,5.07,5.07,NA,5.07,5.07,5.07,NA,NA,NA,178.66,29.47
34.97691246,-79.1947716,"City.of.Raeford","8/5/2019",NA,119,NA,NA,NA,NA,NA,65.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.6,150,NA,77,380,380,77,77,NA,77,77,77,77,1900,1900,77,77,380,380,380,NA,77,NA,258.4,73.6
35.54719755,-79.21987282,"Sanford-Big.Buffalo.Creek.WWTP","8/6/2019",15.4,NA,NA,1.85,NA,NA,77.5,6.38,44.2,NA,2.25,NA,0.134,NA,NA,75.7,0.239,NA,NA,NA,11.5,40.8,NA,1.27,1.27,NA,1.27,1.27,NA,NA,NA,1.27,NA,0.322,NA,1.27,1.27,0,NA,1.27,1.27,44.52,NA,1.27,275.953,52.3
36.09864301,-79.68893648,"Greensboro-TZ.Osborne.WRF","8/7/2019",27.3,39.3,NA,NA,NA,NA,22.3,19.6,54.6,NA,NA,NA,NA,NA,NA,66.9,NA,NA,NA,NA,24.7,36.2,NA,NA,10.2,10.2,10.2,10.2,NA,NA,NA,10.2,10.2,10.2,18,18,10.2,NA,10.2,10.2,10.2,NA,NA,NA,290.9,60.9
35.72183182,-79.65364379,"Town.of.Ramseur.WWTP","8/6/2019",NA,344,NA,NA,NA,NA,NA,NA,4.77,NA,NA,NA,NA,NA,NA,103,NA,NA,NA,NA,2,45.7,1.25,NA,1.25,1.25,1.25,1.25,1.25,"1.25",NA,1.25,1.25,1.25,1.25,1.25,1.25,NA,1.25,1.25,1.25,43.9,NA,NA,499.47,47.7
36.09382721,-79.37771112,"East.Burlington.WWTP","8/6/2019",141,NA,NA,25.3,7.47,NA,845,16.1,706,NA,10.6,NA,NA,16.1,NA,523,NA,NA,5.28,NA,64.6,56.4,NA,4.88,4.88,NA,NA,4.88,NA,NA,NA,4.88,NA,4.88,4.88,NA,4.88,NA,4.88,4.88,NA,NA,NA,NA,2416.85,121
34.81715622,-78.00565245,"Town.of.Rose.Hill.WWTP","9/18/2019",NA,NA,NA,0.3,0.252,NA,1.56,NA,NA,NA,0.351,NA,NA,0.274,NA,NA,0.408,0.218,NA,NA,4.36,8.74,0.242,0.242,0.242,NA,NA,0.242,NA,"0.242",0.242,0.24,NA,0.365,0.242,NA,0.242,0.242,NA,NA,0.242,NA,NA,NA,16.463,13.1
34.55726739,-77.92518487,"Town.of.Burgaw.Collection.System","9/17/2019",NA,NA,NA,NA,1.4,NA,NA,NA,NA,NA,0.802,NA,NA,NA,NA,NA,1.45,NA,NA,NA,3.95,9.29,0.244,0.244,0.244,0.244,NA,0.244,0.244,"0.244",0.244,0.24,NA,0.369,0.244,0.244,0.244,0.244,NA,0.244,0.244,NA,NA,NA,16.892,13.24
35.72833511,-79.42704286,"Siler.City.Waste.Water.Treatment.Plant","9/8/2019",NA,NA,NA,NA,NA,NA,2.05,1.46,6.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.71,3.89,1.68,1.68,1.68,1.68,1.68,1.68,NA,NA,NA,1.68,1.68,2.53,1.68,1.68,1.68,1.68,1.68,1.68,1.68,NA,NA,NA,17.26,7.6
36.04983302,-79.37369128,"City.of.Graham","9/18/2019",NA,NA,NA,2.14,NA,NA,NA,NA,0.822,NA,2.46,NA,NA,NA,NA,NA,NA,0.776,NA,NA,8.37,9.59,0.21,0.21,0.21,NA,0.21,0.21,0.21,"0.21",NA,0.21,NA,0.317,0.21,0.21,0.21,0.21,0.21,NA,0.21,7.33,NA,NA,24.158,17.96
35.67154993,-78.94119022,"Cary.Western.Wake.Regional.Water.Reclamation.Facility","9/4/2019",NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,39,9.7,9.7,9.7,9.7,9.7,9.7,"9.7",NA,9.7,9.7,9.7,9.7,12,9.7,NA,9.7,9.7,9.7,NA,9.7,9.7,32,0
36.09382721,-79.37771112,"East.Burlington.WWTP","9/17/2019",NA,NA,NA,NA,NA,NA,5.39,5.1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.8,12.5,1.75,1.75,1.75,1.75,1.75,1.75,NA,NA,NA,1.75,1.75,2.65,1.75,1.75,1.75,1.75,1.75,1.75,1.75,NA,NA,NA,41.79,23.3
34.27175034,-78.0055035,"Northeast.Brunswick.Regional","9/3/2019",NA,NA,NA,3.27,1.02,NA,18.8,NA,29.5,NA,1.13,NA,NA,NA,NA,NA,0.639,NA,NA,NA,11.2,NA,1.34,1.34,1.34,NA,NA,1.34,NA,"1.34",NA,1.34,NA,1.34,1.34,1.34,1.34,1.34,NA,1.34,1.34,46.8,NA,1.34,65.559,11.2
