Type,Site,Analyte,Sample.Date,ppt,lab.qual,limit
WWTP,Wilmington-James.A.Loughlin(Northside).WWTP,4:2 FTS,7/9/2019,,U,16.8
WWTP,Wilmington-James.A.Loughlin(Northside).WWTP,6:2 FTS,7/9/2019,,U,17
WWTP,Wilmington-James.A.Loughlin(Northside).WWTP,8:2 FTS,7/9/2019,,U,3.43
WWTP,Wilmington-James.A.Loughlin(Northside).WWTP,Nafion.Byproduct.1,7/9/2019,,U,3.57
WWTP,Wilmington-James.A.Loughlin(Northside).WWTP,Nafion.Byproduct.2,7/9/2019,,U,3.57
WWTP,Wilmington-James.A.Loughlin(Northside).WWTP,N-EtFOSA,7/9/2019,,U,3.57
WWTP,Wilmington-James.A.Loughlin(Northside).WWTP,N-MeFOSA,7/9/2019,,U,17.9
WWTP,Wilmington-James.A.Loughlin(Northside).WWTP,PFO4DA,7/9/2019,2.61,JX,
WWTP,Wilmington-James.A.Loughlin(Northside).WWTP,PFO3OA,7/9/2019,12.9,X,
WWTP,Wilmington-James.A.Loughlin(Northside).WWTP,PFO2HxA,7/9/2019,29.7,X,
WWTP,Wilmington-James.A.Loughlin(Northside).WWTP,PFMOAA,7/9/2019,43.1,X,
WWTP,Wilmington-James.A.Loughlin(Northside).WWTP,PFMOPrA,7/9/2019,13.8,X,
WWTP,Wilmington-James.A.Loughlin(Northside).WWTP,PFMOBA,7/9/2019,,UX,3.57
WWTP,Wilmington-James.A.Loughlin(Northside).WWTP,PFHxDA,7/9/2019,,U,1.79
WWTP,Wilmington-James.A.Loughlin(Northside).WWTP,ADONA,7/9/2019,,U,1.79
WWTP,Wilmington-James.A.Loughlin(Northside).WWTP,PFOA,7/9/2019,6.61,,
WWTP,Wilmington-James.A.Loughlin(Northside).WWTP,PFOS,7/9/2019,8.83,,
WWTP,Wilmington-James.A.Loughlin(Northside).WWTP,Sum(PFOA+PFOS),7/9/2019,15.44,,
WWTP,Wilmington-James.A.Loughlin(Northside).WWTP,Total.PFAS,7/9/2019,169.85,,
WWTP,Wilmington-M'Kean.Maffitt(Southside).WWTP,PFBA,7/9/2019,4.28,,
WWTP,Wilmington-M'Kean.Maffitt(Southside).WWTP,PFBS,7/9/2019,6.83,,
WWTP,Wilmington-M'Kean.Maffitt(Southside).WWTP,PFDS,7/9/2019,,U,1.69
WWTP,Wilmington-M'Kean.Maffitt(Southside).WWTP,PFDA,7/9/2019,,U,1.74
WWTP,Wilmington-M'Kean.Maffitt(Southside).WWTP,PFDoA,7/9/2019,,U,1.74
WWTP,Wilmington-M'Kean.Maffitt(Southside).WWTP,PFHpS,7/9/2019,,U,1.65
WWTP,Wilmington-M'Kean.Maffitt(Southside).WWTP,PFHpA,7/9/2019,4.8,,
WWTP,Wilmington-M'Kean.Maffitt(Southside).WWTP,PFHxS,7/9/2019,3.41,,
WWTP,Wilmington-M'Kean.Maffitt(Southside).WWTP,PFHxA,7/9/2019,13,,
WWTP,Wilmington-M'Kean.Maffitt(Southside).WWTP,PFNS,7/9/2019,,U,1.67
WWTP,Wilmington-M'Kean.Maffitt(Southside).WWTP,PFNA,7/9/2019,0.683,J,
WWTP,Wilmington-M'Kean.Maffitt(Southside).WWTP,PFOSA,7/9/2019,,U,1.62
WWTP,Wilmington-M'Kean.Maffitt(Southside).WWTP,N-EtFOSAA,7/9/2019,,U,3.47
WWTP,Wilmington-M'Kean.Maffitt(Southside).WWTP,N-MeFOSAA,7/9/2019,,U,17.4
WWTP,Wilmington-M'Kean.Maffitt(Southside).WWTP,PFPeS,7/9/2019,,U,1.63
WWTP,Wilmington-M'Kean.Maffitt(Southside).WWTP,PFPeA,7/9/2019,15.1,,
WWTP,Wilmington-M'Kean.Maffitt(Southside).WWTP,PFTeA,7/9/2019,,U,8.69
WWTP,Wilmington-M'Kean.Maffitt(Southside).WWTP,PFTriA,7/9/2019,,U,8.69
WWTP,Wilmington-M'Kean.Maffitt(Southside).WWTP,PFUnA,7/9/2019,,U,1.74
WWTP,Wilmington-M'Kean.Maffitt(Southside).WWTP,PF3OUdS,7/9/2019,,U,3.27
WWTP,Wilmington-M'Kean.Maffitt(Southside).WWTP,N-EtFOSE,7/9/2019,,U,8.69
WWTP,Wilmington-M'Kean.Maffitt(Southside).WWTP,N-MeFOSE,7/9/2019,,U,8.69
WWTP,Wilmington-M'Kean.Maffitt(Southside).WWTP,PFPrOPrA,7/9/2019,11.7,,
WWTP,Wilmington-M'Kean.Maffitt(Southside).WWTP,PFECA-G,7/9/2019,,UX,3.47
WWTP,Wilmington-M'Kean.Maffitt(Southside).WWTP,PF3ONS,7/9/2019,,U,1.62
WWTP,Wilmington-M'Kean.Maffitt(Southside).WWTP,10:2 FTS,7/9/2019,,U,3.34
WWTP,Wilmington-M'Kean.Maffitt(Southside).WWTP,4:2 FTS,7/9/2019,,U,81.7
WWTP,Wilmington-M'Kean.Maffitt(Southside).WWTP,6:2 FTS,7/9/2019,,U,82.5
WWTP,Wilmington-M'Kean.Maffitt(Southside).WWTP,8:2 FTS,7/9/2019,,U,3.34
WWTP,Wilmington-M'Kean.Maffitt(Southside).WWTP,Nafion.Byproduct.1,7/9/2019,,U,3.47
WWTP,Wilmington-M'Kean.Maffitt(Southside).WWTP,Nafion.Byproduct.2,7/9/2019,1.57,JX,
