"Site","Sample.Date","4.2","6.2","8.2","HFPO.DA","N.EtFOSAA","N.MeFOSAA","Nafion.Byproduct.2","PFBA","PFBS","PFDA","PFDoA","PFDS","PFHpA","PFHpS","PFHxA","PFHxS","PFMOAA","PFMOBA","PFMOPrA","PFNA","PFNS","PFO2HxA","PFO3OA","PFO4DA","PFOA","PFOS","PFOSA","PFPeA","PFPeS","PFPrOPrA","PFTeA","PFTriA","PFUnA","PFHxDA","PFODA","10.2","ADONA","N.EtFOSA","Nafion.Byproduct.1","N.EtFOSE","N.MeFOSA","N.MeFOSE","PF3ONS","PF3OUdS","PFECA.G","TotalPFAS","SumPFOA.PFOS","short.ppt","long.ppt","Type","lat","long"
"North.Harnett.Regional",2019-08-06,NA,1.08,0.53,NA,NA,NA,NA,9.38,NA,0.297,NA,NA,12.5,NA,22.9,5.31,NA,NA,NA,0.551,NA,NA,NA,NA,7.29,18.5,NA,55.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161.228,25.79,110.88,50.348,"WWTP",35.40727843,-78.8203801
"Sanford-Big.Buffalo.Creek.WWTP",2019-08-06,1.25,NA,6.09,NA,0.134,NA,NA,15.4,NA,1.85,NA,NA,77.5,NA,44.2,6.38,NA,NA,NA,2.25,NA,NA,NA,NA,11.5,40.8,NA,75.7,NA,NA,0.239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,304.753,52.3,223.2,81.553,"WWTP",35.54719755,-79.21987282
"East.Burlington.WWTP",2019-08-06,NA,NA,NA,NA,NA,16.1,NA,141,NA,25.3,7.47,NA,845,NA,706,16.1,NA,NA,NA,10.6,NA,NA,NA,NA,64.6,56.4,NA,523,NA,NA,NA,NA,5.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2445.65,121,2225.4,220.25,"WWTP",36.09382721,-79.37771112
"South.Burlington.WWTP",2019-08-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2,NA,NA,7.29,NA,27.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.9,6.57,NA,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,207.46,29.47,152.39,55.07,"WWTP",36.02454813,-79.36944141
"Siler.City.Waste.Water.Treatment.Plant",2019-08-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.717,NA,5.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.02,3.84,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.267,7.86,30.007,26.26,"WWTP",35.72833511,-79.42704286
"Wilmington-James.A.Loughlin(Northside.WWTP",2019-08-05,NA,NA,NA,NA,NA,NA,1.27,NA,6.23,0.973,NA,NA,4.96,NA,14.2,3.69,48,6.67,NA,0.861,NA,36.5,14,3.27,7.46,9.29,NA,15.9,NA,14.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,216.774,16.75,51.69,40.674,"WWTP",34.26246994,-77.92142112
"Wilmington-M'Kean.Maffitt(Southside.WWTP",2019-08-05,NA,NA,NA,NA,NA,NA,1.75,NA,6.4,NA,NA,NA,5.89,NA,14.8,3.6,56.7,7.2,NA,0.952,NA,47.1,16.3,4.32,6.5,8.53,NA,17.3,NA,20.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,246.442,15.03,54.79,37.982,"WWTP",34.16600449,-77.94528851
"City.of.Raeford",2019-08-05,NA,NA,NA,NA,NA,NA,NA,NA,119,NA,NA,NA,NA,NA,NA,65.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,287.2,73.6,129.4,157.8,"WWTP",34.97691246,-79.1947716
"City.of.Durham-South.Durham.Water.Reclamation",2019-08-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.93,NA,NA,7.01,NA,26.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.1,6.32,NA,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200.86,28.42,147.11,53.75,"WWTP",35.90402079,-78.97846588
"Durham.County.Triangle.Wastewater.Treatment.Plant",2019-08-05,NA,NA,NA,NA,0.964,NA,NA,50.2,NA,NA,NA,2.62,1.34,NA,7.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.74,7.19,NA,NA,NA,NA,1.45,1.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.914,12.93,69.57,38.344,"WWTP",35.8802467,-78.8932025
"Town.of.Burgaw.Collection.System",2019-07-26,NA,NA,NA,NA,3.7,NA,NA,NA,1.66,0.766,NA,NA,0.701,NA,4.64,0.782,NA,NA,NA,0.926,NA,NA,NA,NA,1.14,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.415,3.44,17.401,28.014,"WWTP",34.55726739,-77.92518487
"City.of.Randleman",2019-07-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.661,NA,NA,3.12,NA,8.36,6.07,NA,NA,NA,1.04,NA,NA,NA,NA,5.7,7.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.291,13.24,21.88,39.411,"WWTP",35.80812458,-79.78271331
"Town.of.Holly.Springs",2019-07-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.8,0,61.4,18.4,"WWTP",35.64598133,-78.85109368
"City.of.Graham",2019-07-23,NA,3.19,0.769,NA,NA,NA,NA,NA,NA,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.77,NA,NA,NA,NA,6.5,NA,NA,65.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.92,6.5,76,27.92,"WWTP",36.04983302,-79.37369128
"Town.of.Rose.Hill.WWTP",2019-07-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.24,NA,8.01,NA,NA,NA,NA,0.91,NA,NA,NA,NA,2.82,6.06,NA,7.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.7,8.88,28.51,28.19,"WWTP",34.81715622,-78.00565245
"South.Burlington.WWTP",2019-07-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.62,NA,13.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.2,20.2,NA,35.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116.32,33.4,64.52,51.8,"WWTP",36.02454813,-79.36944141
